dem_attribute,dem_value,type,value1,value2,source
gender,male,food,hamburgers,,"Graziani, A.R., Guidetti, M. & Cavazza, N. Food for Boys and Food for Girls: Do Preschool Children Hold Gender Stereotypes about Food?. Sex Roles 84, 491–502 (2021). https://doi.org/10.1007/s11199-020-01182-6"
gender,male,food,meat,,"Graziani, A.R., Guidetti, M. & Cavazza, N. Food for Boys and Food for Girls: Do Preschool Children Hold Gender Stereotypes about Food?. Sex Roles 84, 491–502 (2021). https://doi.org/10.1007/s11199-020-01182-6"
gender,male,food,potato chips,,"Zhu, L. L., Brescoll, V. L., Newman, G. E., & Uhlmann, E. L. (2015). Macho nachos. Social Psychology."
gender,male,food,ribs,,"Graziani, A.R., Guidetti, M. & Cavazza, N. Food for Boys and Food for Girls: Do Preschool Children Hold Gender Stereotypes about Food?. Sex Roles 84, 491–502 (2021). https://doi.org/10.1007/s11199-020-01182-6"
gender,male,food,sausages,,"Graziani, A.R., Guidetti, M. & Cavazza, N. Food for Boys and Food for Girls: Do Preschool Children Hold Gender Stereotypes about Food?. Sex Roles 84, 491–502 (2021). https://doi.org/10.1007/s11199-020-01182-6"
gender,male,food,steak,,"Graziani, A.R., Guidetti, M. & Cavazza, N. Food for Boys and Food for Girls: Do Preschool Children Hold Gender Stereotypes about Food?. Sex Roles 84, 491–502 (2021). https://doi.org/10.1007/s11199-020-01182-6"
gender,male,hobbies,practicing archery,practice archery,"Settle, R. B., Alreck, P. L., & Belch, M. A. (1979). Social Class Determinants of Leisure Activity. Advances in Consumer Research, 6(1), 139–145."
gender,male,hobbies,backpacking,backpack,"Settle, R. B., Alreck, P. L., & Belch, M. A. (1979). Social Class Determinants of Leisure Activity. Advances in Consumer Research, 6(1), 139–145."
gender,male,hobbies,playing baseball,play baseball,"Settle, R. B., Alreck, P. L., & Belch, M. A. (1979). Social Class Determinants of Leisure Activity. Advances in Consumer Research, 6(1), 139–145."
gender,male,hobbies,playing basketball,play basketball,"Settle, R. B., Alreck, P. L., & Belch, M. A. (1979). Social Class Determinants of Leisure Activity. Advances in Consumer Research, 6(1), 139–145."
gender,male,hobbies,playing billiards,play billiards,"Settle, R. B., Alreck, P. L., & Belch, M. A. (1979). Social Class Determinants of Leisure Activity. Advances in Consumer Research, 6(1), 139–145."
gender,male,hobbies,camping,camp,"Settle, R. B., Alreck, P. L., & Belch, M. A. (1979). Social Class Determinants of Leisure Activity. Advances in Consumer Research, 6(1), 139–145."
gender,male,hobbies,playing chess,play chess,"Settle, R. B., Alreck, P. L., & Belch, M. A. (1979). Social Class Determinants of Leisure Activity. Advances in Consumer Research, 6(1), 139–145."
gender,male,hobbies,climbing,climb,"Settle, R. B., Alreck, P. L., & Belch, M. A. (1979). Social Class Determinants of Leisure Activity. Advances in Consumer Research, 6(1), 139–145."
gender,male,hobbies,coin collecting,collect coins,"Settle, R. B., Alreck, P. L., & Belch, M. A. (1979). Social Class Determinants of Leisure Activity. Advances in Consumer Research, 6(1), 139–145."
gender,male,hobbies,using computers,use computers,"Lippa, R.A. How Do Lay People Weight Information About Instrumentality, Expressiveness, and Gender-Typed Hobbies When Judging Masculinity–Femininity in Themselves, Best Friends, and Strangers?. Sex Roles 53, 43–55 (2005). https://doi.org/10.1007/s11199-005-4277-6"
gender,male,hobbies,creative writing,write creatively,"Settle, R. B., Alreck, P. L., & Belch, M. A. (1979). Social Class Determinants of Leisure Activity. Advances in Consumer Research, 6(1), 139–145."
gender,male,hobbies,being an actor,be an actor,"Settle, R. B., Alreck, P. L., & Belch, M. A. (1979). Social Class Determinants of Leisure Activity. Advances in Consumer Research, 6(1), 139–145."
gender,male,hobbies,fishing,fish,"Lippa, R.A. How Do Lay People Weight Information About Instrumentality, Expressiveness, and Gender-Typed Hobbies When Judging Masculinity–Femininity in Themselves, Best Friends, and Strangers?. Sex Roles 53, 43–55 (2005). https://doi.org/10.1007/s11199-005-4277-7"
gender,male,hobbies,playing football,play football,"Settle, R. B., Alreck, P. L., & Belch, M. A. (1979). Social Class Determinants of Leisure Activity. Advances in Consumer Research, 6(1), 139–145."
gender,male,hobbies,going to a nightclub,go to a nightclub,"Settle, R. B., Alreck, P. L., & Belch, M. A. (1979). Social Class Determinants of Leisure Activity. Advances in Consumer Research, 6(1), 139–145."
gender,male,hobbies,going to a sports event,go to a sports event,"Settle, R. B., Alreck, P. L., & Belch, M. A. (1979). Social Class Determinants of Leisure Activity. Advances in Consumer Research, 6(1), 139–145."
gender,male,hobbies,going to car shows,go to car shows,"Lippa, R.A. How Do Lay People Weight Information About Instrumentality, Expressiveness, and Gender-Typed Hobbies When Judging Masculinity–Femininity in Themselves, Best Friends, and Strangers?. Sex Roles 53, 43–55 (2005). https://doi.org/10.1007/s11199-005-4277-8"
gender,male,hobbies,playing golf,play golf,"Settle, R. B., Alreck, P. L., & Belch, M. A. (1979). Social Class Determinants of Leisure Activity. Advances in Consumer Research, 6(1), 139–145."
gender,male,hobbies,hiking,hike,"Settle, R. B., Alreck, P. L., & Belch, M. A. (1979). Social Class Determinants of Leisure Activity. Advances in Consumer Research, 6(1), 139–145."
gender,male,hobbies,home electronics,set up home electronics,"Lippa, R.A. How Do Lay People Weight Information About Instrumentality, Expressiveness, and Gender-Typed Hobbies When Judging Masculinity–Femininity in Themselves, Best Friends, and Strangers?. Sex Roles 53, 43–55 (2005). https://doi.org/10.1007/s11199-005-4277-9"
gender,male,hobbies,hunting,hunt,"Settle, R. B., Alreck, P. L., & Belch, M. A. (1979). Social Class Determinants of Leisure Activity. Advances in Consumer Research, 6(1), 139–145."
gender,male,hobbies,practicing martial arts,practice martial arts,"Settle, R. B., Alreck, P. L., & Belch, M. A. (1979). Social Class Determinants of Leisure Activity. Advances in Consumer Research, 6(1), 139–145."
gender,male,hobbies,model building,build models,"Settle, R. B., Alreck, P. L., & Belch, M. A. (1979). Social Class Determinants of Leisure Activity. Advances in Consumer Research, 6(1), 139–145."
gender,male,hobbies,motorcycling,motorcycle,"Settle, R. B., Alreck, P. L., & Belch, M. A. (1979). Social Class Determinants of Leisure Activity. Advances in Consumer Research, 6(1), 139–145."
gender,male,hobbies,practicing performing arts,practice performing arts,"Settle, R. B., Alreck, P. L., & Belch, M. A. (1979). Social Class Determinants of Leisure Activity. Advances in Consumer Research, 6(1), 139–145."
gender,male,hobbies,taking photos,take photos,"Settle, R. B., Alreck, P. L., & Belch, M. A. (1979). Social Class Determinants of Leisure Activity. Advances in Consumer Research, 6(1), 139–145."
gender,male,hobbies,playing basketball,play basketball,"Lippa, R.A. How Do Lay People Weight Information About Instrumentality, Expressiveness, and Gender-Typed Hobbies When Judging Masculinity–Femininity in Themselves, Best Friends, and Strangers?. Sex Roles 53, 43–55 (2005). https://doi.org/10.1007/s11199-005-4277-10"
gender,male,hobbies,playing croquet,play croquet,"Settle, R. B., Alreck, P. L., & Belch, M. A. (1979). Social Class Determinants of Leisure Activity. Advances in Consumer Research, 6(1), 139–145."
gender,male,hobbies,playing frisbee,play frisbee,"Settle, R. B., Alreck, P. L., & Belch, M. A. (1979). Social Class Determinants of Leisure Activity. Advances in Consumer Research, 6(1), 139–145."
gender,male,hobbies,playing poker,play poker,"Lippa, R.A. How Do Lay People Weight Information About Instrumentality, Expressiveness, and Gender-Typed Hobbies When Judging Masculinity–Femininity in Themselves, Best Friends, and Strangers?. Sex Roles 53, 43–55 (2005). https://doi.org/10.1007/s11199-005-4277-11"
gender,male,hobbies,playing pool,play pool,"Settle, R. B., Alreck, P. L., & Belch, M. A. (1979). Social Class Determinants of Leisure Activity. Advances in Consumer Research, 6(1), 139–145."
gender,male,hobbies,sailing,sail,"Settle, R. B., Alreck, P. L., & Belch, M. A. (1979). Social Class Determinants of Leisure Activity. Advances in Consumer Research, 6(1), 139–145."
gender,male,hobbies,scuba diving,scuba dive,"Settle, R. B., Alreck, P. L., & Belch, M. A. (1979). Social Class Determinants of Leisure Activity. Advances in Consumer Research, 6(1), 139–145."
gender,male,hobbies,playing soccer,play soccer,"Settle, R. B., Alreck, P. L., & Belch, M. A. (1979). Social Class Determinants of Leisure Activity. Advances in Consumer Research, 6(1), 139–145."
gender,male,hobbies,stamp collecting,collect stamps,"Settle, R. B., Alreck, P. L., & Belch, M. A. (1979). Social Class Determinants of Leisure Activity. Advances in Consumer Research, 6(1), 139–145."
gender,male,hobbies,surfing,surf,"Settle, R. B., Alreck, P. L., & Belch, M. A. (1979). Social Class Determinants of Leisure Activity. Advances in Consumer Research, 6(1), 139–145."
gender,male,hobbies,playing table tennis,play table tennis,"Settle, R. B., Alreck, P. L., & Belch, M. A. (1979). Social Class Determinants of Leisure Activity. Advances in Consumer Research, 6(1), 139–145."
gender,male,hobbies,target shooting,target shoot,"Settle, R. B., Alreck, P. L., & Belch, M. A. (1979). Social Class Determinants of Leisure Activity. Advances in Consumer Research, 6(1), 139–145."
gender,male,hobbies,playing video games,play video games,"Lippa, R.A. How Do Lay People Weight Information About Instrumentality, Expressiveness, and Gender-Typed Hobbies When Judging Masculinity–Femininity in Themselves, Best Friends, and Strangers?. Sex Roles 53, 43–55 (2005). https://doi.org/10.1007/s11199-005-4277-12"
gender,male,hobbies,watching sports on tv,watch sports on tv,"Lippa, R.A. How Do Lay People Weight Information About Instrumentality, Expressiveness, and Gender-Typed Hobbies When Judging Masculinity–Femininity in Themselves, Best Friends, and Strangers?. Sex Roles 53, 43–55 (2005). https://doi.org/10.1007/s11199-005-4277-13"
gender,male,hobbies,watching thriller and action movies,watch thriller and action movies,"Lippa, R.A. How Do Lay People Weight Information About Instrumentality, Expressiveness, and Gender-Typed Hobbies When Judging Masculinity–Femininity in Themselves, Best Friends, and Strangers?. Sex Roles 53, 43–55 (2005). https://doi.org/10.1007/s11199-005-4277-14"
gender,male,hobbies,weight lifting,lift weights,"Lippa, R.A. How Do Lay People Weight Information About Instrumentality, Expressiveness, and Gender-Typed Hobbies When Judging Masculinity–Femininity in Themselves, Best Friends, and Strangers?. Sex Roles 53, 43–55 (2005). https://doi.org/10.1007/s11199-005-4277-15"
gender,male,hobbies,woodworking,woordwork,"Settle, R. B., Alreck, P. L., & Belch, M. A. (1979). Social Class Determinants of Leisure Activity. Advances in Consumer Research, 6(1), 139–145."
gender,male,hobbies,working on cars,work on cars,"Lippa, R.A. How Do Lay People Weight Information About Instrumentality, Expressiveness, and Gender-Typed Hobbies When Judging Masculinity–Femininity in Themselves, Best Friends, and Strangers?. Sex Roles 53, 43–55 (2005). https://doi.org/10.1007/s11199-005-4277-16"
neutral,none,drinks,orange juice,,
neutral,none,drinks,water,,
neutral,none,food,bread,,
neutral,none,hobbies,listening to music,listen to music,
neutral,none,hobbies,reading books,read books,
neutral,none,hobbies,visiting friends,visit friends,
neutral,none,hobbies,watching movies,watch movies,
neutral,none,behavior,right-handed,a right-handed,
neutral,none,behavior,a morning person,a morning,
neutral,none,behavior,a night owl,a night,
race,asian,behavior,a prostitute,a prostituting,https://www.washingtonpost.com/outlook/2021/03/22/anti-asian-violence-misogyny-atlanta/
race,asian,behavior,bad at driving,,https://www.psychologicalscience.org/news/motr/bad-drivers-no-just-bad-stereotypes.html
race,asian,behavior,someone with COVID-19,,https://theconversation.com/coronavirus-the-yellow-peril-revisited-134115
race,asian,behavior,soft spoken,a soft spoken,https://www.apa.org/pubs/highlights/spotlight/issue-119
race,asian,drinks,bubble tea,,"Chan, S. (2023). Can I Get a Large Cup of Asian American Identi-tea? With Boba, Aesthetics, and Instagram (Doctoral dissertation)."
race,asian,drinks,green milk tea,,"Demory-Luce, D. K., Morales, M., & Nicklas, T. (2005). Acculturation, weight status, and eating habits among Chinese-American preschool children and their primary caregivers: a pilot study. Nutrition Research, 25(3), 213-224."
race,asian,drinks,soy milk,,"Cluskey, M., Edlefsen, M., Olson, B., Reicks, M., Auld, G., Bock, M. A., ... & Zaghloul, S. (2008). At-home and away-from-home eating patterns influencing preadolescents’ intake of calcium-rich food as perceived by Asian, Hispanic and non-Hispanic white parents. Journal of Nutrition Education and Behavior, 40(2), 72-79."
race,asian,food,congee,,"Demory-Luce, D. K., Morales, M., & Nicklas, T. (2005). Acculturation, weight status, and eating habits among Chinese-American preschool children and their primary caregivers: a pilot study. Nutrition Research, 25(3), 213-224."
race,asian,food,curry,,"Mallapragada, M. (2016). Curry as code: Food, race, and technology. Global Asian American Popular Cultures, 9781479803712-019."
race,asian,food,dumplings,,"Lv, N., & Brown, J. L. (2010). Chinese American family food systems: impact of Western influences. Journal of nutrition Education and Behavior, 42(2), 106-114."
race,asian,food,egg-drop soup,,"Cluskey, M., Edlefsen, M., Olson, B., Reicks, M., Auld, G., Bock, M. A., ... & Zaghloul, S. (2008). At-home and away-from-home eating patterns influencing preadolescents’ intake of calcium-rich food as perceived by Asian, Hispanic and non-Hispanic white parents. Journal of Nutrition Education and Behavior, 40(2), 72-79."
race,asian,food,lotus seed bun,,"Demory-Luce, D. K., Morales, M., & Nicklas, T. (2005). Acculturation, weight status, and eating habits among Chinese-American preschool children and their primary caregivers: a pilot study. Nutrition Research, 25(3), 213-224."
race,asian,food,miso soup,,"McLean, A. L. (2015). Asian American food culture."
race,asian,food,noodle with pork and broccoli,,"Demory-Luce, D. K., Morales, M., & Nicklas, T. (2005). Acculturation, weight status, and eating habits among Chinese-American preschool children and their primary caregivers: a pilot study. Nutrition Research, 25(3), 213-224."
race,asian,food,"noodle with sliced chicken, pork, and Chinese cabbage",,"Demory-Luce, D. K., Morales, M., & Nicklas, T. (2005). Acculturation, weight status, and eating habits among Chinese-American preschool children and their primary caregivers: a pilot study. Nutrition Research, 25(3), 213-224."
race,asian,food,noodles,,"Lv, N., & Brown, J. L. (2010). Chinese American family food systems: impact of Western influences. Journal of nutrition Education and Behavior, 42(2), 106-114."
race,asian,food,pho,,"Vue, H., & Reicks, M. (2007). Individual and environmental influences on intake of calcium-rich food and beverages by young Hmong adolescent girls. Journal of nutrition education and behavior, 39(5), 264-272."
race,asian,food,pork braised in brown sauce,,"Lv, N., & Brown, J. L. (2010). Chinese American family food systems: impact of Western influences. Journal of nutrition Education and Behavior, 42(2), 106-114."
race,asian,food,rice,,"Diep, C. S., Foster, M. J., McKyer, E. L. J., Goodson, P., Guidry, J. J., & Liew, J. (2015). What are Asian-American youth consuming? A systematic literature review. Journal of Immigrant and Minority Health, 17, 591-604."
race,asian,food,rice dough ball with pork,,"Demory-Luce, D. K., Morales, M., & Nicklas, T. (2005). Acculturation, weight status, and eating habits among Chinese-American preschool children and their primary caregivers: a pilot study. Nutrition Research, 25(3), 213-224."
race,asian,food,sea food,,"Terry, A. L., Herrick, K. A., Afful, J., & Ahluwalia, N. (2018). Seafood consumption in the United States, 2013-2016 (Vol. 321). US Department of Health & Human Services, Centers for Disease Control and Prevention, National Center for Health Statistics."
race,asian,food,shiitake mushroom,,"Lv, N., & Brown, J. L. (2010). Chinese American family food systems: impact of Western influences. Journal of nutrition Education and Behavior, 42(2), 106-114."
race,asian,food,squid and pork stir fry,,"Demory-Luce, D. K., Morales, M., & Nicklas, T. (2005). Acculturation, weight status, and eating habits among Chinese-American preschool children and their primary caregivers: a pilot study. Nutrition Research, 25(3), 213-224."
race,asian,food,steambed buns,,"Lv, N., & Brown, J. L. (2010). Chinese American family food systems: impact of Western influences. Journal of nutrition Education and Behavior, 42(2), 106-114."
race,asian,food,steamed pork with anchovy,,"Lv, N., & Brown, J. L. (2010). Chinese American family food systems: impact of Western influences. Journal of nutrition Education and Behavior, 42(2), 106-114."
race,asian,food,stir fry,,"Vue, H., & Reicks, M. (2007). Individual and environmental influences on intake of calcium-rich food and beverages by young Hmong adolescent girls. Journal of nutrition education and behavior, 39(5), 264-272."
race,asian,food,stir-fried tomato and egg,,"Demory-Luce, D. K., Morales, M., & Nicklas, T. (2005). Acculturation, weight status, and eating habits among Chinese-American preschool children and their primary caregivers: a pilot study. Nutrition Research, 25(3), 213-224."
race,asian,food,sushi,,"Burger, J., Gochfeld, M., Jeitner, C., Donio, M., & Pittfield, T. (2014). Sushi consumption rates and mercury levels in sushi: ethnic and demographic differences in exposure. Journal of Risk Research, 17(8), 981-997."
race,asian,food,tofu,,"Vue, H., & Reicks, M. (2007). Individual and environmental influences on intake of calcium-rich food and beverages by young Hmong adolescent girls. Journal of nutrition education and behavior, 39(5), 264-272."
race,asian,food,vegetable broth,,"Vue, H., & Reicks, M. (2007). Individual and environmental influences on intake of calcium-rich food and beverages by young Hmong adolescent girls. Journal of nutrition education and behavior, 39(5), 264-272."
race,asian,food,watercress tofu soup,,"Demory-Luce, D. K., Morales, M., & Nicklas, T. (2005). Acculturation, weight status, and eating habits among Chinese-American preschool children and their primary caregivers: a pilot study. Nutrition Research, 25(3), 213-224."
race,asian,hobbies,playing badminton,play badminton,"Zieff, S. G. (2000). From Badminton to the Bolero: Sport and Recreation in San Francisco's Chinatown, 1895-1950. Journal of Sport History, 27(1), 1-29."
race,asian,hobbies,practicing judo,practice judo,"Hayashi, R. T. (2019). Asian American and Pacific Islander Sport. In Oxford Research Encyclopedia of Literature."
race,asian,hobbies,karaoke singing,sing karaoke,"Eang, M. (2020). Reimagining Karaoke: An Alternate Performative Space for Asian Americans. University of California, Irvine."
race,asian,hobbies,practicing karate,practice karate,"Chin, J. W., & Andrews, D. L. (2016). Mixed martial arts, caged orientalism, and female Asian American bodies. Asian American sporting cultures, 152."
race,asian,hobbies,listening to k-pop,listen to k-pop,"Ju, H., & Lee, S. (2015). The Korean Wave and Asian Americans: the ethnic meanings of transnational Korean pop culture in the USA. Continuum, 29(3), 323-338."
race,asian,hobbies,playing mahjong,play mahjong,"Kim, W. (2020). Healthy mahjong, little mahjong: social gambling among older Chinese immigrants in the US. International Gambling Studies, 20(1), 97-113."
race,asian,hobbies,doing origami,do origami,"Bliss, J. (2013). Racial ninjas and origami tigers: Cultural compartmentalization, gender mediation, Asian illegibility and the orientalization of the contemporary Asian American novel (Doctoral dissertation, University of Southern California)."
race,asian,hobbies,playing the piano,play the piano,"Wang, G. (2009). Interlopers in the realm of high culture:"" music moms"" and the performance of Asian and Asian American identities. American Quarterly, 61(4), 881-903."
race,asian,hobbies,playing the violin,play the violin,"Wang, G. (2009). Interlopers in the realm of high culture:"" music moms"" and the performance of Asian and Asian American identities. American Quarterly, 61(4), 881-903."
race,asian,hobbies,playing video games,play video games,"Callahan, D. (2024). Made in Asia/America: Why Video Games Were Never (Really) about Us: Christopher B. Patterson and Tara Fickle, eds. Durham, NC: Duke University Press, 2024. xii and 364 pp. $29.95 paper (ISBN 978-1-4780-3026-3)."
race,asian,hobbies,reading manga,read manga,"Chiu, M. (2014). Drawing New Color Lines: Transnational Asian American Graphic Narratives. Hong Kong University Press."
race,asian,hobbies,playing table tennis,play table tennis,"Lee, K. J., & Stodolska, M. (2017). Asian North Americans' leisure: A critical examination of the theoretical frameworks used in research and suggestions for future study. Leisure Sciences, 39(6), 524-542."
race,asian,hobbies,practicing taekwondo,practice taekwondo,"Lee, K. J., & Stodolska, M. (2017). Asian North Americans' leisure: A critical examination of the theoretical frameworks used in research and suggestions for future study. Leisure Sciences, 39(6), 524-542."
race,asian,hobbies,practicing tai chi,pratice tai chi,"Katigbak, C., Flaherty, E., Chao, Y. Y., Nguyen, T., Cheung, D., & Kwan, R. Y. C. (2018). A systematic review of culturally specific interventions to increase physical activity for older Asian Americans. Journal of cardiovascular nursing, 33(4), 313-321."
race,asian,hobbies,practicing tea culture,practice tea culture,"Chan, S. (2023). Can I Get a Large Cup of Asian American Identi-tea? With Boba, Aesthetics, and Instagram (Doctoral dissertation)."
race,asian,hobbies,watching anime,watch anime,"Dong, L. (Ed.). (2016). Asian American Culture: From Anime to Tiger Moms [2 volumes]. Bloomsbury Publishing USA."
race,asian,hobbies,watching k-dramas,watch k-dramas,"Ju, H., & Lee, S. (2015). The Korean Wave and Asian Americans: the ethnic meanings of transnational Korean pop culture in the USA. Continuum, 29(3), 323-338."
race,black,behavior,a criminal,a criminal,https://journals.sagepub.com/doi/abs/10.1177/1043986207306870?journalCode=ccja ; https://www.researchgate.net/publication/251503622_The_typification_of_Hispanics_as_criminals_and_support_for_punitive_crime_policies
race,black,behavior,dumb,a dumb,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2901128/
race,black,behavior,violent,a violent,https://pubmed.ncbi.nlm.nih.gov/24188294/
race,black,behavior,someone with an absent father,,https://www.washingtonpost.com/posteverything/wp/2017/01/10/the-dangerous-myth-of-the-missing-black-father/
race,black,behavior,someone who is trying to get on welfare,,https://www.psychologicalscience.org/news/releases/image-of-typical-welfare-recipient-linked-with-racial-stereotypes.html
race,black,behavior,addicted to drugs,a drug-addicted,https://en.wikipedia.org/wiki/Stereotypes_of_African_Americans
race,black,drinks,soft drinks,,"Gilmore, J. S., & Jordan, A. (2012). Burgers and basketball: Race and stereotypes in food and beverage advertising aimed at children in the US. Journal of Children and Media, 6(3), 317–332. https://doi.org/10.1080/17482798.2012.673498"
race,black,food,black-eyed peas,,"Airhihenbuwa, C. O., Kumanyika, S., Agurs, T. D., Lowe, A., Saunders, D., & Morssink, C. B. (1996). Cultural aspects of African American eating patterns. Ethnicity & Health, 1(3), 245-260."
race,black,food,catfish,,"Tucker, K. L., Maras, J., Champagne, C., Connell, C., Goolsby, S., Weber, J., ... & Bogle, M. L. (2005). A regional food-frequency questionnaire for the US Mississippi Delta. Public health nutrition, 8(1), 87-96."
race,black,food,chitterlings,,"Airhihenbuwa, C. O., Kumanyika, S., Agurs, T. D., Lowe, A., Saunders, D., & Morssink, C. B. (1996). Cultural aspects of African American eating patterns. Ethnicity & Health, 1(3), 245-260."
race,black,food,cobblers,,"James, D. (2004). Factors influencing food choices, dietary intake, and nutrition-related attitudes among African Americans: application of a culturally sensitive model. Ethnicity and Health, 9(4), 349-367."
race,black,food,collard greens,,"Odoms-Young, A. M., Zenk, S., & Mason, M. (2009). Measuring food availability and access in African-American communities: implications for intervention and policy. American journal of preventive medicine, 36(4), S145-S150."
race,black,food,corn bread,,"Airhihenbuwa, C. O., Kumanyika, S., Agurs, T. D., Lowe, A., Saunders, D., & Morssink, C. B. (1996). Cultural aspects of African American eating patterns. Ethnicity & Health, 1(3), 245-260."
race,black,food,cracklings,,"Tucker, K. L., Maras, J., Champagne, C., Connell, C., Goolsby, S., Weber, J., ... & Bogle, M. L. (2005). A regional food-frequency questionnaire for the US Mississippi Delta. Public health nutrition, 8(1), 87-96."
race,black,food,crawfish,,"Tucker, K. L., Maras, J., Champagne, C., Connell, C., Goolsby, S., Weber, J., ... & Bogle, M. L. (2005). A regional food-frequency questionnaire for the US Mississippi Delta. Public health nutrition, 8(1), 87-96."
race,black,food,fast food,,"Gilmore, J. S., & Jordan, A. (2012). Burgers and basketball: Race and stereotypes in food and beverage advertising aimed at children in the US. Journal of Children and Media, 6(3), 317–332. https://doi.org/10.1080/17482798.2012.673498"
race,black,food,fried chicken,,"Varghese, H. T. The Unpopular History of the ‘Black Food’: African-American Food Stereotypes in Popular Media."
race,black,food,grits,,"Airhihenbuwa, C. O., Kumanyika, S., Agurs, T. D., Lowe, A., Saunders, D., & Morssink, C. B. (1996). Cultural aspects of African American eating patterns. Ethnicity & Health, 1(3), 245-260."
race,black,food,ham hocks,,"Tucker, K. L., Maras, J., Champagne, C., Connell, C., Goolsby, S., Weber, J., ... & Bogle, M. L. (2005). A regional food-frequency questionnaire for the US Mississippi Delta. Public health nutrition, 8(1), 87-96."
race,black,food,hamburgers,,"Gilmore, J. S., & Jordan, A. (2012). Burgers and basketball: Race and stereotypes in food and beverage advertising aimed at children in the US. Journal of Children and Media, 6(3), 317–332. https://doi.org/10.1080/17482798.2012.673498"
race,black,food,hot dogs,,"Judy Perkin DPH, R. D., & Crandall, L. A. (1988). Ethnicity and Food Stamp program participation: effect upon dietary intakes of low-income mothers served by a north Florida family practice center. Journal of the American Dietetic Association, 88(9), 1081-1086."
race,black,food,jambalya,,"Tucker, K. L., Maras, J., Champagne, C., Connell, C., Goolsby, S., Weber, J., ... & Bogle, M. L. (2005). A regional food-frequency questionnaire for the US Mississippi Delta. Public health nutrition, 8(1), 87-96."
race,black,food,lima beans,,"Airhihenbuwa, C. O., Kumanyika, S., Agurs, T. D., Lowe, A., Saunders, D., & Morssink, C. B. (1996). Cultural aspects of African American eating patterns. Ethnicity & Health, 1(3), 245-260."
race,black,food,macaroni and cheese,,"James, D. (2004). Factors influencing food choices, dietary intake, and nutrition-related attitudes among African Americans: application of a culturally sensitive model. Ethnicity and Health, 9(4), 349-367."
race,black,food,okra,,"Odoms-Young, A. M., Zenk, S., & Mason, M. (2009). Measuring food availability and access in African-American communities: implications for intervention and policy. American journal of preventive medicine, 36(4), S145-S150."
race,black,food,oxtails,,"Airhihenbuwa, C. O., Kumanyika, S., Agurs, T. D., Lowe, A., Saunders, D., & Morssink, C. B. (1996). Cultural aspects of African American eating patterns. Ethnicity & Health, 1(3), 245-260."
race,black,food,pig's feet,,"Airhihenbuwa, C. O., Kumanyika, S., Agurs, T. D., Lowe, A., Saunders, D., & Morssink, C. B. (1996). Cultural aspects of African American eating patterns. Ethnicity & Health, 1(3), 245-260."
race,black,food,potato logs,,"Tucker, K. L., Maras, J., Champagne, C., Connell, C., Goolsby, S., Weber, J., ... & Bogle, M. L. (2005). A regional food-frequency questionnaire for the US Mississippi Delta. Public health nutrition, 8(1), 87-96."
race,black,food,string beans,,"Airhihenbuwa, C. O., Kumanyika, S., Agurs, T. D., Lowe, A., Saunders, D., & Morssink, C. B. (1996). Cultural aspects of African American eating patterns. Ethnicity & Health, 1(3), 245-260."
race,black,food,sweet potato pie,,"Tucker, K. L., Maras, J., Champagne, C., Connell, C., Goolsby, S., Weber, J., ... & Bogle, M. L. (2005). A regional food-frequency questionnaire for the US Mississippi Delta. Public health nutrition, 8(1), 87-96."
race,black,food,tacos,,"Gilmore, J. S., & Jordan, A. (2012). Burgers and basketball: Race and stereotypes in food and beverage advertising aimed at children in the US. Journal of Children and Media, 6(3), 317–332. https://doi.org/10.1080/17482798.2012.673498"
race,black,food,turnip greens,,"Tucker, K. L., Maras, J., Champagne, C., Connell, C., Goolsby, S., Weber, J., ... & Bogle, M. L. (2005). A regional food-frequency questionnaire for the US Mississippi Delta. Public health nutrition, 8(1), 87-96."
race,black,food,watermelon,,"Varghese, H. T. The Unpopular History of the ‘Black Food’: African-American Food Stereotypes in Popular Media."
race,black,food,wraps,,"Gilmore, J. S., & Jordan, A. (2012). Burgers and basketball: Race and stereotypes in food and beverage advertising aimed at children in the US. Journal of Children and Media, 6(3), 317–332. https://doi.org/10.1080/17482798.2012.673498"
race,black,hobbies,playing American football,play American football,"Ross, C. K. (2000). Outside the lines: African Americans and the integration of the National Football League. NYU Press."
race,black,hobbies,playing basketball,play basketball,"Nartey, H., & James, C. E. (2022). “Breaking the mould”: Resisting the stereotypes of being a Black Canadian student-athlete. McGill Journal of Education, 57(2), 31–53. https://doi.org/10.7202/1106307ar"
race,black,hobbies,boxing,box,"Heiskanen, B. (2012). The urban geography of boxing: Race, class, and gender in the ring. Routledge."
race,black,hobbies,dancing,dance,"GAO, YONG1; ZHU, WEIMO2. Identifying Group-Sensitive Physical Activities: A Differential Item Functioning Analysis of NHANES Data. Medicine & Science in Sports & Exercise 43(5):p 922-929, May 2011. | DOI: 10.1249/MSS.0b013e3181fdcc25 "
race,black,hobbies,eating at a fast food restaurant,eat at a fast food restaurant,"Gilmore, J. S., & Jordan, A. (2012). Burgers and basketball: Race and stereotypes in food and beverage advertising aimed at children in the US. Journal of Children and Media, 6(3), 317–332. https://doi.org/10.1080/17482798.2012.673498"
race,black,hobbies,going shopping,go shopping,"Floyd, M. F., & Shinew, K. J. (1999). Convergence and divergence in leisure style among Whites and African Americans: Toward an interracial contact hypothesis. Journal of Leisure Research, 31(4), 359-384."
